Customer,Project Billing,Product,Datacenter,Project Product,SUM of Latest ARC EUR
,,,,"ConsolidatedFEED Market Data - Singapore SE Derivatives Commodity Futures & Options (1221:SGY) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - TMX Toronto (Quantum) (1097:TMX) - Ref, L1 - Delayed","1,705"
,,,,"ConsolidatedFEED Market Data - TMX Toronto Venture (Quantum) (1122:TSX) - Ref, L1 - Delayed","1,705"
,,,US - Secaucus - Equinix - NY4 Total,,"81,121"
,,ConsoFeed Total,,,"205,796"
,,,,,"205,796"
[anonymised],Customer 266,ConsoFeed,APAC - Hong Kong - HKex Colo,ConsolidatedFEED Business Model - Per Feed,0
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - 1000 instruments,"37,530"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - 1000 instruments across 4 feeds,"28,771"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - 10000 instruments across 4 feeds,"45,954"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - 2000 instruments across 8 feeds,"39,297"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - 500 instruments,"14,622"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - 85000 instruments across 4 feeds,"8,082"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - 90000 instruments across 4 feeds,"11,546"
,,,,"ConsolidatedFEED Market Data - Cboe Futures Exchange (1123:CBE) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Cboe Futures Exchange (1123:CBE) - Ref, L1, L2 MBL Depth5 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Options (1033:EUO) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - JPX Osaka Futures J-NET (1440:JPA) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - JPX Osaka Stock Exchange Futures (1028:CMX) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - JPX Osaka Stock Exchange Options (1037:GLO) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - SGX FX Futures & Options (1458:SFX) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Singapore SE Derivatives Commodity Futures & Options (1221:SGY) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Singapore SE Derivatives Index Futures & Options (1222:SGZ) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,APAC - Hong Kong - HKex Colo Total,,"185,802"
,,,EU - London - Interxion - LON1,ConsolidatedFEED Business Model - Per Instrument - World Wide - 500 instruments across 1 feed,"15,164"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - Additional 2 feeds to existing pack of instruments from OF listed in ACC,0
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Options (1033:EUO) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,EU - London - Interxion - LON1 Total,,"15,164"
,,ConsoFeed Total,,,"200,966"
,,,,,"200,966"
[anonymised],Customer 28,QuantFEED,US - Aurora - CME Colo,"QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1, L2 MBL Depth10 - Real-Time","10,093"
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBL Depth10 - Real-Time","10,093"
,,,,"QuantFEED Market Data - Euronext Commodities Derivatives (1073:LIC) - Ref, L1, L2 MBL Depth10 - Real-Time","9,514"
,,,,"QuantFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1, L2 MBL Depth10 - Real-Time","19,028"
,,,,"QuantFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref, L1, L2 MBL Depth5 - Real-Time","10,093"
,,,,"QuantFEED Market Data - LME base and ferrous metals (1284:LMF) - Ref, L1, L2 MBL Depth10 - Real-Time","18,474"
,,,,"QuantFEED Market Data - Minneapolis Grain Exchange (1057:MGE) - Ref, L1, L2 MBL Depth10 - Real-Time","13,879"
,,,,"QuantFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1, L2 MBL Depth10 - Real-Time","10,093"
,,,,"QuantFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1, L2 MBL Depth10 - Real-Time","10,093"
,,,,"QuantFEED Market Data - Tullett FX Spot Market (1434:TUN) - Ref, L1 - Real-Time","6,062"
,,,US - Aurora - CME Colo Total,,"117,424"
,,,US - Secaucus - Equinix - NY4,"QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref, L1, L2 MBL Depth10 - Real-Time","7,638"
,,,,"QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1, L2 MBL Depth10 - Real-Time","7,638"
,,,,"QuantFEED Market Data - Euronext Commodities Derivatives (1073:LIC) - Ref, L1, L2 MBL Depth10 - Real-Time","4,757"
,,,,"QuantFEED Market Data - ICE Futures EU Commodities (1041:ICE) - Ref, L1, L2 MBL Depth10 - Real-Time","9,514"
,,,,"QuantFEED Market Data - ICE Futures US - US Softs & Financials (1042:ICU) - Ref, L1, L2 MBL Depth5 - Real-Time","7,638"
,,,,"QuantFEED Market Data - Minneapolis Grain Exchange (1057:MGE) - Ref, L1, L2 MBL Depth10 - Real-Time","10,502"
,,,,"QuantFEED Market Data - New York Mercantile Exchange NYMEX (1069:NYM) - Ref, L1, L2 MBL Depth10 - Real-Time","7,638"
,,,,"QuantFEED Market Data - NY Commodity Exchange COMEX (1141:COM) - Ref, L1, L2 MBL Depth10 - Real-Time","7,638"
,,,,"QuantFEED Market Data - Tullett FX Spot Market (1434:TUN) - Ref, L1 - Real-Time","3,031"
,,,US - Secaucus - Equinix - NY4 Total,,"65,993"
,,QuantFEED Total,,,"183,417"
,,,,,"183,417"
[anonymised],Customer 24,QuantFEED,EU - London - Interxion - LON1,"QuantFEED Market Data - Aquis MTF EU (1306:AQV) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - Aquis MTF UK (1227:AQU) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - ASX Total Equities (1006:AUE) - Ref, L1 - Delayed","5,741"
,,,,"QuantFEED Market Data - Athens Securities (1004:ATH) - Ref, L1 - Real-Time","2,748"
,,,,"QuantFEED Market Data - Athens Securities (1004:ATH) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - BME SIB Equities - CERT (1012:BME) - Ref, L1, L2 MBL Depth5 - Real-Time","1,661"
,,,,"QuantFEED Market Data - BME SIB Equities - Managed Solution (1012:BME) - Ref, L1, L2 MBL Depth5 - Real-Time","3,415"
,,,,"QuantFEED Market Data - Borsa Istanbul Equities (1193:BIE) - Ref, L1 - Delayed","1,515"
,,,,"QuantFEED Market Data - Budapest RapidADH (1144:RBD) - Ref, L1 - Delayed","1,515"
,,,,"QuantFEED Market Data - Cboe Europe BXE and CXE - CERT (1007:BAE) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - Cboe Europe BXE and CXE (1007:BAE) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - Cboe Europe DXE (1305:CBV) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - Cboe Europe DXE Exchange - CERT (1305:CBV) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - CTA Network A Bid/Ask Regionals (1279:CTG) - Ref, L1 - Real-Time","3,768"
,,,,"QuantFEED Market Data - CTA Network A Regionals (1277:CTE) - Ref, L1 - Delayed","1,515"
,,,,"QuantFEED Market Data - CTA Network B Bid/Ask Regionals (1280:CTH) - Ref, L1 - Real-Time","2,261"
,,,,"QuantFEED Market Data - CTA Network B Regionals (1278:CTF) - Ref, L1 - Delayed","1,515"
,,,,"QuantFEED Market Data - Equiduct HybridBook - CERT (1291:EQU) - Ref, L1, L2 MBL Depth10 - Real-Time","1,720"
,,,,"QuantFEED Market Data - Euronext Cash Market - CERT (1034:EUR) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - Euronext Cash Market (1034:EUR) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - Euronext Dublin Equities - CERT (1301:EUV) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - Euronext Dublin Equities (1301:EUV) - Ref, L1 - Delayed","1,515"
,,,,"QuantFEED Market Data - Euronext Dublin Equities (1301:EUV) - Ref, L1 - Real-Time","3,091"
,,,,"QuantFEED Market Data - Euronext Dublin Equities (1301:EUV) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - Euronext Milan AFF - CERT (1437:EUX) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - Euronext Milan AFF (1437:EUX) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - JSE Equities (1047:JSE) - Ref, L1 - Delayed","1,515"
,,,,"QuantFEED Market Data - LSE European Market, LSE International Market (1054:LEE,1055:LEI) - Ref, L1 - Real-Time","1,515"
,,,,"QuantFEED Market Data - LSE European Market, LSE International Market (1054:LEE,1055:LEI) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - LSE UK Market - CERT (1053:LSE) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - LSE UK Market (1053:LSE) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - NASDAQ Nordic Equity TotalView - CERT (1062:TOT) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - NASDAQ Nordic Equity TotalView (1062:TOT) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - NASDAQ UTP NBBO (1064:NUT) - Ref, L1 - Real-Time","3,768"
,,,,"QuantFEED Market Data - NASDAQ UTP Regionals (1281:NAA) - Ref, L1 - Delayed",0
,,,,"QuantFEED Market Data - Oslo Bors Equities (1364:EUW) - Ref, L1 - Real-Time","2,932"
,,,,"QuantFEED Market Data - Oslo Bors Equities (1364:EUW) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - OTC Markets including Pinksheets (1000:OTC) - Ref, L1 - Real-Time","1,515"
,,,,"QuantFEED Market Data - Prague Cash Market ADH (1087:PRG) - Ref, L1 - Delayed","1,515"
,,,,"QuantFEED Market Data - SIX Swiss incl. SWX Europe IMI - CERT (1217:SIX) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - SIX Swiss incl. SWX Europe IMI (1217:SIX) - Ref, L1 - Real-Time","1,515"
,,,,"QuantFEED Market Data - SIX Swiss incl. SWX Europe IMI (1217:SIX) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - Tel Aviv Shares (1147:TAS) - Ref, L1 - Real-Time","1,515"
,,,,"QuantFEED Market Data - TMX Toronto (Quantum) (1097:TMX) - Ref, L1 - Delayed","5,733"
,,,,"QuantFEED Market Data - TMX Toronto Venture (Quantum) (1122:TSX) - Ref, L1 - Delayed","5,733"
,,,,"QuantFEED Market Data - Turquoise - CERT (1098:TRQ) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - Turquoise (1098:TRQ) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - Turquoise EU27 - CERT (1304:TUR) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - Turquoise Europe (1304:TUR) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,,"QuantFEED Market Data - Vienna Cash Market & Structured Products (1121:VIR) - Ref, L1, L2 MBL Depth20 - Real-Time","3,415"
,,,,"QuantFEED Market Data - Vienna Cash Market & Structured Products RapidADH - CERT (1121:VIR) - Ref, L1, L2 MBL Depth20 - Real-Time","1,708"
,,,,"QuantFEED Market Data - Vienna Global Market Ultra (1435:VIH) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Warsaw Stock Exchange (1101:WAR) - Ref, L1 - Real-Time","1,515"
,,,,"QuantFEED Market Data - Warsaw Stock Exchange (NewConnect) (1230:WAS) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - Xetra Ultra - CERT (1108:DEP) - Ref, L1, L2 MBL Depth10 - Real-Time","1,661"
,,,,"QuantFEED Market Data - Xetra Ultra (1108:DEP) - Ref, L1, L2 MBL Depth10 - Real-Time","3,440"
,,,EU - London - Interxion - LON1 Total,,"139,188"
,,,EU - Slough - Equinix - LD4,"QuantFEED Market Data - Athens Securities (1004:ATH) - Ref, L1 - Real-Time","1,374"
,,,,"QuantFEED Market Data - BME SIB Equities - Managed Solution (1012:BME) - Ref, L1, L2 MBL Depth5 - Real-Time","1,708"
,,,,"QuantFEED Market Data - Borsa Istanbul Equities (1193:BIE) - Ref, L1 - Delayed","1,010"
,,,,"QuantFEED Market Data - Budapest RapidADH (1144:RBD) - Ref, L1 - Delayed","1,010"
,,,,"QuantFEED Market Data - CTA Network A Bid/Ask Regionals (1279:CTG) - Ref, L1 - Real-Time","3,768"
,,,,"QuantFEED Market Data - CTA Network A Regionals (1277:CTE) - Ref, L1 - Delayed","1,010"
,,,,"QuantFEED Market Data - CTA Network B Bid/Ask Regionals (1280:CTH) - Ref, L1 - Real-Time","2,261"
,,,,"QuantFEED Market Data - CTA Network B Regionals (1278:CTF) - Ref, L1 - Delayed","1,010"
,,,,"QuantFEED Market Data - Euronext Cash Market (1034:EUR) - Ref, L1 - Real-Time","1,010"
,,,,"QuantFEED Market Data - Euronext Dublin Equities (1301:EUV) - Ref, L1 - Delayed","1,010"
,,,,"QuantFEED Market Data - Euronext Dublin Equities (1301:EUV) - Ref, L1 - Real-Time","1,518"
,,,,"QuantFEED Market Data - Euronext Milan AFF (1437:EUX) - Ref, L1 - Real-Time","1,518"
,,,,"QuantFEED Market Data - JSE Equities (1047:JSE) - Ref, L1 - Delayed","1,010"
,,,,"QuantFEED Market Data - LSE European Market, LSE International Market (1054:LEE,1055:LEI) - Ref, L1 - Real-Time","1,010"
,,,,"QuantFEED Market Data - LSE UK Market (1053:LSE) - Ref, L1 - Real-Time","1,010"
,,,,"QuantFEED Market Data - NASDAQ Nordic Equity TotalView (1062:TOT) - Ref, L1 - Real-Time","1,518"
,,,,"QuantFEED Market Data - NASDAQ UTP NBBO (1064:NUT) - Ref, L1 - Real-Time","2,261"
,,,,"QuantFEED Market Data - NASDAQ UTP Regionals (1281:NAA) - Ref, L1 - Delayed",0
,,,,"QuantFEED Market Data - Oslo Bors Equities (1364:EUW) - Ref, L1 - Real-Time","1,518"
,,,,"QuantFEED Market Data - OTC Markets including Pinksheets (1000:OTC) - Ref, L1 - Real-Time","1,010"
,,,,"QuantFEED Market Data - Prague Cash Market ADH (1087:PRG) - Ref, L1 - Delayed","1,010"
,,,,"QuantFEED Market Data - SIX Swiss incl. SWX Europe IMI (1217:SIX) - Ref, L1 - Real-Time","1,010"
,,,,"QuantFEED Market Data - Tel Aviv Shares (1147:TAS) - Ref, L1 - Real-Time","1,010"
,,,,"QuantFEED Market Data - Vienna Cash Market & Structured Products (1121:VIR) - Ref, L1 - Real-Time","1,489"
,,,,"QuantFEED Market Data - Vienna Global Market Ultra (1435:VIH) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Warsaw Stock Exchange (1101:WAR) - Ref, L1 - Real-Time","1,010"
,,,,"QuantFEED Market Data - Warsaw Stock Exchange (NewConnect) (1230:WAS) - Ref, L1 - Real-Time",0
,,,,"QuantFEED Market Data - Xetra Ultra (1108:DEP) - Ref, L1 - Real-Time","1,010"
,,,EU - Slough - Equinix - LD4 Total,,"34,080"
,,QuantFEED Total,,,"173,268"
,,,,,"173,268"
[anonymised],Customer 1,QuantFEED,EU - Slough - Equinix - LD6,"QuantFEED Market Data - Euronext Milan DER (1018:IDM) - Ref, L1, L2 MBL Depth5 - Real-Time","10,800"
,,,EU - Slough - Equinix - LD6 Total,,"10,800"
,,,Client facility,QuantFEED Market Data - ASX Total Equities (1006:AUE) - Ref,"2,223"
,,,,QuantFEED Market Data - Athens Securities (1004:ATH) - Ref,"2,223"
,,,,QuantFEED Market Data - EEX Power & Others (1140:EEX) - Ref,"2,160"
,,,,QuantFEED Market Data - Euronext Milan DER (1018:IDM) - Ref,0
,,,,"QuantFEED Market Data - Euronext Milan DER (1018:IDM) - Ref, L1, L2 MBL Depth5 - Real-Time","21,600"
,,,,"QuantFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1, L2 MBL Depth10 - Real-Time","22,680"
,,,,QuantFEED Market Data - ICE Endex (1271:ICG) - Ref,"2,400"
,,,,QuantFEED Market Data - LME base and ferrous metals (1284:LMF) - Ref,"2,223"
,,,,"QuantFEED Market Data - Oslo Bors Equities (1364:EUW) - Ref, L1, L2 MBL Depth20 - Real-Time","15,540"
,,,,QuantFEED Market Data - S&P/ASX Indices (1409:SPA) - Ref,0
,,,,QuantFEED Market Data - TMX Montreal Exchange (Quantum) (1156:MOD) - Ref,"2,223"
,,,,"QuantFEED Market Data - Tower Research EU/CH and UK (1429:TOA) - Ref, L1 - Real-Time","10,584"
,,,,"QuantFEED Market Data - XTX Markets SI (above SMS) Swiss Only (1340:XTX) - Ref, L1, L2 MBL Depth20 - Real-Time",0
,,,,"QuantFEED Market Data - XTX Markets SI (below SMS) excluding Swiss (1349:XTY) - Ref, L1, L2 MBL Depth20 - Real-Time",0
,,,,"QuantFEED Market Data - XTX Markets SI (Near Touch Feed) (1422:XTD) - Ref, L1, L2 MBL Depth20 - Real-Time","1,323"
,,,,"QuantFEED Market Data - XTX Markets SI (Near Touch UK and Swiss) (1451:XTE) - Ref, L1, L2 MBL Depth20 - Real-Time","4,410"
,,,,"QuantFEED Market Data - XTX US (Mid Price) (1454:XTF) - Ref, L1 - Real-Time","7,560"
,,,,"QuantFEED Market Data - XTX US (NBBO) (1456:XTH) - Ref, L1 - Real-Time","7,560"
,,,,"QuantFEED Market Data - XTX US (Price Improvement) (1455:XTG) - Ref, L1 - Real-Time","7,560"
,,,Client facility - Total,,"112,268"
,,,Client facility,QuantFEED Market Data - ASX Total Equities (1006:AUE) - Ref,"1,111"
,,,,QuantFEED Market Data - Athens Securities (1004:ATH) - Ref,"1,111"
,,,,"QuantFEED Market Data - Boerse Frankfurt Certificates and Warrants (ex SCOACH) - CERT (1118:XEA) - Ref, L1 - Real-Time","12,600"
,,,,QuantFEED Market Data - EEX Power & Others (1140:EEX) - Ref,"1,080"
,,,,QuantFEED Market Data - Euronext Milan DER (1018:IDM) - Ref,0
,,,,"QuantFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1, L2 MBL Depth10 - Real-Time","11,340"
,,,,QuantFEED Market Data - ICE Endex (1271:ICG) - Ref,"1,200"
,,,,QuantFEED Market Data - LME base and ferrous metals (1284:LMF) - Ref,"1,111"
,,,,"QuantFEED Market Data - Oslo Bors Equities - CERT (1364:EUW) - Ref, L1, L2 MBL Depth20 - Real-Time","1,200"
,,,,"QuantFEED Market Data - Oslo Bors Equities (1364:EUW) - Ref, L1, L2 MBL Depth20 - Real-Time","7,800"
,,,,QuantFEED Market Data - S&P/ASX Indices (1409:SPA) - Ref,0
,,,,QuantFEED Market Data - TMX Montreal Exchange (Quantum) (1156:MOD) - Ref,"1,111"
,,,Client facility - Total,,"39,665"
,,,Client facility,"QuantFEED Market Data - XTX Markets SI (above SMS) Swiss Only (1340:XTX) - Ref, L1 - Real-Time","10,210"
,,,,"QuantFEED Market Data - XTX Markets SI (below SMS) excluding Swiss (1349:XTY) - Ref, L1 - Real-Time",0
,,,Client facility - Total,,"10,210"
,,QuantFEED Total,,,"172,943"
,,,,,"172,943"
[anonymised],Customer 22,QuantFEED,EU - London - Interxion - LON1,"QuantFEED Market Data - Eurex Ultra Options (1033:EUO) - Ref, L1 - Real-Time","8,392"
,,,,"QuantFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1 - Real-Time","8,392"
,,,,"QuantFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1 - Real-Time","8,392"
,,,,"QuantFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1 - Real-Time","8,392"
,,,,"QuantFEED Market Data - OPRA NBBO (1081:OPA) - Ref, L1 - Real-Time","11,122"
,,,EU - London - Interxion - LON1 Total,,"44,690"
,,,EU - Slough - Equinix - LD4,"QuantFEED Market Data - Eurex Ultra Options (1033:EUO) - Ref, L1 - Real-Time","8,392"
,,,,"QuantFEED Market Data - Euronext Equity and Index Derivatives (1072:LII) - Ref, L1 - Real-Time","8,392"
,,,,"QuantFEED Market Data - HKEx Derivatives (1039:HKD) - Ref, L1 - Real-Time","8,392"
,,,,"QuantFEED Market Data - ICE Futures EU Financials (1175:ICL) - Ref, L1 - Real-Time","8,392"
,,,,"QuantFEED Market Data - OPRA NBBO (1081:OPA) - Ref, L1 - Real-Time","5,646"
,,,EU - Slough - Equinix - LD4 Total,,"39,215"
,,QuantFEED Total,,,"83,904"
,,ConsoFeed,EU - London - Interxion - LON1,ConsolidatedFEED Business Model - Per Instrument - World Wide - 5000 instruments across 20 feeds,"41,927"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - Additional feeds to existing pack of instruments from OF listed in ACC,0
,,,,"ConsolidatedFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - CTA Network A NBBO (1029:CTA) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - CTA Network B NBBO (1030:CTB) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Options (1033:EUO) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Euronext Cash Market (1034:EUR) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Euronext Dublin Equities (1301:EUV) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Euronext Milan AFF (1437:EUX) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - LSE UK Market (1053:LSE) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - LSE UK Market (1053:LSE) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NASDAQ Issues (1143:NBC) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE Issues (1065:NBA) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE MKT Issues (1142:NBB) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Oslo Bors Equities (1364:EUW) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - SIX Swiss incl. SWX Europe IMI (1217:SIX) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Vienna Cash Market & Structured Products (1121:VIR) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Vienna Cash Market ADH (1099:VIE) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Xetra Ultra (1108:DEP) - Ref, L1 - Real-Time",0
,,,EU - London - Interxion - LON1 Total,,"41,927"
,,,EU - Slough - Equinix - LD4,ConsolidatedFEED Business Model - Per Instrument - World Wide - 5000 instruments across 20 feeds,"41,927"
,,,,ConsolidatedFEED Business Model - Per Instrument - World Wide - Additional feeds to existing pack of instruments from OF listed in ACC,0
,,,,"ConsolidatedFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - CTA Network A NBBO (1029:CTA) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - CTA Network B NBBO (1030:CTB) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Eurex Ultra Options (1033:EUO) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Euronext Cash Market (1034:EUR) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Euronext Dublin Equities (1301:EUV) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Euronext Milan AFF (1437:EUX) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - LSE UK Market (1053:LSE) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - LSE UK Market (1053:LSE) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NASDAQ Issues (1143:NBC) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE Issues (1065:NBA) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Nasdaq Basic NYSE MKT Issues (1142:NBB) - Ref, L1 - Real-Time",0
,,,,"ConsolidatedFEED Market Data - Oslo Bors Equities (1364:EUW) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - SIX Swiss incl. SWX Europe IMI (1217:SIX) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Vienna Cash Market & Structured Products (1121:VIR) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Vienna Cash Market ADH (1099:VIE) - Ref, L1 - Delayed",0
,,,,"ConsolidatedFEED Market Data - Xetra Ultra (1108:DEP) - Ref, L1 - Real-Time",0
,,,EU - Slough - Equinix - LD4 Total,,"41,927"
,,ConsoFeed Total,,,"83,853"
,,,,,"167,758"
[anonymised],Customer 417,QuantFEED,US - Secaucus - Equinix - NY4,"QuantFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref, L1 - Real-Time","6,963"
,,,,"QuantFEED Market Data - BME MEFF Derivatives (1013:MEF) - Ref, L1 - Real-Time","10,444"
,,,,"QuantFEED Market Data - Cboe Australia (1026:CHA) - Ref, L1 - Real-Time","10,378"
