Customer,Project Billing,Product,Datacenter,Project Product,SUM of Latest ARC EUR
,,,,"QuantFEED Market Data - SIX Structured Products (ex Scoach SWX) IMI (1218:SIY) - Ref, L1, L2 MBL Depth5 - Real-Time",0
,,,,"QuantFEED Market Data - SIX Swiss incl. SWX Europe IMI (1217:SIX) - Ref, L1, L2 MBL Depth5 - Real-Time","53,130"
,,,,QuantFEED Market Data - Stock Exchange of Thailand Derivatives (1199:THD) - Ref,"2,223"
,,,,"QuantFEED Market Data - STOXX Indices (1106:DJI) - Ref, L1 - Real-Time",0
,,,,QuantFEED Market Data - TMX Toronto (Quantum) (1097:TMX) - Ref,"2,412"
,,,,QuantFEED Market Data - TMX Toronto Venture (Quantum) (1122:TSX) - Ref,"2,412"
,,,,"QuantFEED Market Data - Tradegate (1135:TGT) - Ref, L1 - Real-Time","25,019"
,,,,"QuantFEED Market Data - Turquoise (1098:TRQ) - Ref, L1, L2 MBL Depth10 - Real-Time","34,535"
,,,,"QuantFEED Market Data - Turquoise Europe (1304:TUR) - Ref, L1, L2 MBL Depth10 - Real-Time","11,669"
,,,,QuantFEED Market Data - Vienna Cash Market & Structured Products (1121:VIR) - Ref,"2,412"
,,,,"QuantFEED Market Data - Warsaw Stock Exchange, Warsaw Stock Exchange (NewConnect) (1101:WAR,1230:WAS) - Ref","2,223"
,,,,"QuantFEED Market Data - Xetra Core (1102:DES) - Ref, L1, L2 MBL Depth10 - Real-Time","53,131"
,,,,"QuantFEED Market Data - Xetra ETFs & ETPs (1453:XET) - Ref, L1, L2 MBL Depth5 - Real-Time",0
,,,,"QuantFEED Market Data - Xetra European Stars (1103:DEE) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,,"QuantFEED Market Data - Xetra Ultra (1108:DEP) - Ref, L1, L2 MBL Depth10 - Real-Time","13,283"
,,,,"QuantFEED Market Data - Xetra US Stars (1104:DEU) - Ref, L1, L2 MBL Depth10 - Real-Time",0
,,,Client facility - Total,,"574,969"
,,,Client facility,"QuantFEED Market Data - Aquis MTF EU (1306:AQV) - Ref, L1, L2 MBL Depth10 - Real-Time","11,669"
,,,,"QuantFEED Market Data - Aquis MTF UK (1227:AQU) - Ref, L1, L2 MBL Depth10 - Real-Time","33,207"
,,,,QuantFEED Market Data - ASX 24 Derivatives (1005:AUD) - Ref,"1,206"
,,,,QuantFEED Market Data - BM&F Derivatives (1165:BRD) - Ref,"1,111"
,,,,QuantFEED Market Data - BME IBEX and FTSE LATIBEX Indices (1203:IBX) - Ref,0
,,,,QuantFEED Market Data - BME MEFF Derivatives (1013:MEF) - Ref,"1,206"
,,,,QuantFEED Market Data - BME SIB Equities (1012:BME) - Ref,"1,206"
,,,,"QuantFEED Market Data - Boerse Frankfurt Certificates and Warrants (ex SCOACH) (1118:XEA) - Ref, L1 - Real-Time","7,970"
,,,,"QuantFEED Market Data - Cboe Europe BXE and CXE - CERT (1007:BAE) - Ref, L1, L2 MBL Depth10 - Real-Time","7,379"
,,,,"QuantFEED Market Data - Cboe Europe BXE and CXE (1007:BAE) - Ref, L1, L2 MBL Depth10 - Real-Time","34,535"
,,,,"QuantFEED Market Data - Cboe Europe DXE (1305:CBV) - Ref, L1, L2 MBL Depth10 - Real-Time","11,669"
,,,,QuantFEED Market Data - Cboe Futures Exchange (1123:CBE) - Ref,"1,206"
,,,,QuantFEED Market Data - Chicago Board of Trade CBOT (1022:CBO) - Ref,"1,206"
,,,,QuantFEED Market Data - Chicago Mercantile Exchange CME (1027:CME) - Ref,"1,206"
,,,,QuantFEED Market Data - CTA Network A NBBO (1029:CTA) - Ref,"1,206"
,,,,QuantFEED Market Data - CTA Network B NBBO (1030:CTB) - Ref,"1,206"
,,,,"QuantFEED Market Data - DAX Indices (1105:DEI) - Ref, L1, L2 MBL Depth5 - Real-Time",0
,,,,"QuantFEED Market Data - Eurex Ultra Futures - CERT (1032:EUF) - Ref, L1, L2 MBL Depth10 - Real-Time","7,379"
,,,,QuantFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref,0
,,,,"QuantFEED Market Data - Eurex Ultra Futures (1032:EUF) - Ref, L1, L2 MBL Depth10 - Real-Time","19,924"
,,,,QuantFEED Market Data - Eurex Ultra Options (1033:EUO) - Ref,"1,206"
